Age,Length,Noise,Width
1 Day,0.8889468199715611,0.02944790574054533,0.20723726973485757
1 Day,0.9078261804313328,0.06505622729502122,0.2466214633812878
1 Day,0.6265716610819205,0.050046904276059005,0.17536123649244312
1 Day,1.4971390926072095,0.02571117981801582,0.3251389983394577
1 Day,1.1129596938815216,-0.05376646366425095,0.1688254751120534
1 Day,0.4953685973633698,-0.028092376694662913,0.07098134277801105
1 Day,1.0576184534368929,0.02180600796011302,0.2333296986474916
1 Day,1.0373627927550488,-0.03928478130197003,0.16818777724903974
1 Day,1.2747183193193508,0.05032787380600351,0.3052715376698737
1 Day,0.8653591291847049,0.04467620834139468,0.2177480341783357
1 Day,0.8803182239019096,0.03620608942835258,0.21226973420873452
1 Day,1.1983217054129551,0.08085738838452103,0.3205217294671121
1 Day,1.095377428489535,0.05334358527736647,0.2724190709752735
1 Day,1.1838339198007846,0.05438229366284733,0.29114907762300424
1 Day,1.3468515405855674,-0.009904983486107966,0.2594653246310055
1 Day,1.0607009318127099,-0.015042493416271785,0.1970976929462702
1 Day,0.9326059815763351,-0.02108594164733018,0.16543525466793685
1 Day,1.321037555899744,0.01831550257926214,0.28252301375921096
1 Day,0.6874174320850139,0.01602225913552939,0.15350574555253216
1 Day,0.7763995244485535,-0.04090838283618706,0.11437152205352366
1 Day,0.7226143228977021,0.016189302544420314,0.16071216712396072
1 Day,0.6544786852570831,0.03998024560059733,0.17087598265201398
1 Day,1.030296808422385,0.10608397140162779,0.31214333308610476
1 Day,0.7161828249345243,-0.03141550659272021,0.11182105839418466
1 Day,0.8879194377232893,0.031017034980857713,0.2086009225255156
1 Day,1.2592975879072204,0.0018146947007084053,0.2536742122821525
1 Day,1.1869900779709406,-0.03598995284867298,0.20140806274551515
1 Day,1.3332596713443174,-0.02434892958450482,0.2423030046843587
1 Day,1.0204199227359199,0.0039010708720049105,0.2079850554191889
1 Day,0.586828786259733,0.08138495354105743,0.19875071079300405
1 Day,1.098828437491008,0.032007709686743095,0.2517733971849447
1 Day,0.9774861329393577,0.04871961499335095,0.2442168415812225
1 Day,0.6199960967612741,-0.02747576878444882,0.09652345056780601
1 Day,0.9951809701193984,0.00330032097806069,0.2023365150019404
1 Day,0.7601809609541744,0.10447348615678204,0.25650967834761695
1 Day,0.9566176570358507,-0.024326803016968986,0.16699672839020116
1 Day,1.0686010680469813,-0.10300954130375506,0.11071067230564122
1 Day,0.8211393085833538,0.09936341239498772,0.2635912741116585
1 Day,1.1992040993616295,-0.030907268662815197,0.2089335512095107
1 Day,1.379141687223222,0.004463585535301326,0.28029192297994576
1 Day,1.1352738692916051,0.10633484388406636,0.3333896177423874
1 Day,0.7375417822406003,0.03082354117937765,0.17833189762749774
1 Day,0.7484081187951781,-0.07240366607763889,0.07727795768139674
1 Day,0.9103903627342583,-0.07863109647704598,0.1034469760698057
1 Day,0.5943148463354875,-0.02202555633534995,0.09683741293174755
1 Day,0.9307986300241193,6.614255168314789e-4,0.18682115152165538
1 Day,0.9198755401761326,0.018387048293873446,0.20236215632909998
1 Day,0.9326956135512563,-0.07262202573609026,0.11391709697416101
1 Day,1.0103977143218352,-0.023084787868177054,0.17899475499619
1 Day,0.9814943255119728,-0.07707508589385915,0.11922377920853543
4 Day,1.152489848316091,0.17031502821423028,0.4008129978774485
4 Day,1.1004455670372113,0.006120878631939969,0.22620999203938225
4 Day,1.1696540412066498,0.14046917673766637,0.37439998497899635
4 Day,1.0453078525851405,0.11497303792580581,0.32403460844283394
4 Day,1.214966859893526,-0.0018602638593163412,0.24113310811938884
4 Day,0.9549203091865234,0.08535050982857245,0.27633457166587716
4 Day,0.8919840971058103,0.06672372538924816,0.24512054481041023
4 Day,1.031522695217347,0.09479515006706601,0.3010996891105354
4 Day,1.1489991049781152,-0.026235061555726663,0.20356475943989638
4 Day,1.2390948801940067,0.1858358412297079,0.43365481726850924
4 Day,1.3745895090484512,0.08853214811718799,0.36345004992687824
4 Day,0.7878439942217073,0.019717003353213525,0.177285802197555
4 Day,1.159931399968509,0.03590851493464858,0.2678947949283504
4 Day,1.0206579013274277,0.028249104077794074,0.23238068434327963
4 Day,1.0866115429966556,0.05409953261401282,0.27142184121334395
4 Day,1.0412964406911305,0.0726872290579057,0.28094651719613184
4 Day,1.0082438423315254,0.08183538400766611,0.2834841524739712
4 Day,1.140733996881374,0.07753175149387682,0.3056785508701516
4 Day,1.1770757884888063,0.07880023087191444,0.31421538856967574
4 Day,0.7813004977718426,0.06326415058180734,0.21952425013617588
4 Day,1.0032900992710432,0.046415542053855445,0.2470735619080641
4 Day,1.1562968266824039,0.08797411994638397,0.31923348528286477
4 Day,1.175618241545036,0.02381851259067988,0.25894216089968713
4 Day,1.1513791171090204,0.18024140309223768,0.41051722651404177
4 Day,0.9669210152648617,0.13346914278015326,0.32685334583312564
4 Day,0.8866899146778444,0.09003284923200651,0.2673708321675754
4 Day,0.7845071713609386,0.09856369406470386,0.2554651283368916
4 Day,0.6971952220290116,0.06342781906052354,0.20286686346632588
4 Day,0.7743423306487912,0.11075360743088902,0.26562207356064726
4 Day,0.6497961087378423,0.18496372926081728,0.31492295100838574
4 Day,1.097041011148926,0.11474405142111818,0.3341522536509034
4 Day,1.1891313444201719,0.16213389132896763,0.399960160213002
4 Day,1.4784564782447873,0.1267378849711702,0.4224291806201277
4 Day,1.2439327485561067,0.18744041291888505,0.4362269626301064
4 Day,0.9643473148959845,0.0733808146483876,0.2662502776275845
4 Day,1.0674940265497574,0.08309798586635397,0.29659679117630544
4 Day,0.9454055736012729,0.12709582632162827,0.3161769410418829
4 Day,0.77340741556798,0.0738678815408634,0.2285493646544594
4 Day,0.8093804752438081,0.16642547273949548,0.32830156778825714
4 Day,1.5890740838965511,0.16255028203895663,0.48036509881826683
4 Day,0.6619460460658393,0.06146317938889628,0.19385238860206414
4 Day,0.8230061098006854,0.06953777025773729,0.23413899221787438
4 Day,1.1045305700755368,0.16269142330883524,0.38359753732394264
4 Day,1.1807614721982396,0.04601456266347292,0.28216685710312084
4 Day,1.1453572701481003,0.10818253971177288,0.337253993741393
4 Day,0.8393566045960649,0.05604742938168927,0.22391875030090225
4 Day,1.2104206806870166,0.11004562365087192,0.3521297597882752
4 Day,1.1408153388809152,0.09065435155372847,0.31881741932991153
4 Day,0.9056794176931331,0.10306164836369613,0.2841975319023228
4 Day,1.0231018105174159,0.059910957444688134,0.26453131954817133
